视频id,cid,用户昵称,用户详情页id,用户抖音号,评论文本,发布时间,用户ip地址,用户评论回复数,视频链接
7217763525790371104,7219911421471114016,🐱  .,MS4wLjABAAAAGbgKFuUhWmP-chRDY656Xif4cjynD3vk3_kNcqNTW4A,3734869836,？？撕了[震惊],2023-04-09 13:03:50,山东,0,https://www.douyin.com/video/7217763525790371104
7217763525790371104,7217907881005695759,风起雾散,MS4wLjABAAAAtnZXXgL_I8QLzJc8qqlXZGt2k1ZH9inX-Oqlnl8KitU,90510649422,大街上人们带着面具那是什么意思？,2023-04-04 03:30:57,河南,2,https://www.douyin.com/video/7217763525790371104
7217763525790371104,7290033772132434748,诚创科技,MS4wLjABAAAAMMBhnXhtsqKTSkmq__tu1d-Ik4QjiVJ7vrkTeeNIAvY,84668745,幕后老板哪来的那么多钱,2023-10-15 12:14:19,河北,1,https://www.douyin.com/video/7217763525790371104
7217763525790371104,7241075865533055803,卷毛鲜生,MS4wLjABAAAA7rUJXf2dLnbkqxsptcfgADeHfUEZp6fLGmjZmUQ5SsQ,3713488349,这种赌命求生的题材，还是得看藤原龙也演的~,2023-06-05 13:52:41,湖南,4,https://www.douyin.com/video/7217763525790371104
7217763525790371104,7223884943561409339,躺瘫,MS4wLjABAAAAB-cJsSCnSzH1DPr8aqrkJDDznkg2pGOrrYHEhvOBUNM,1852488462,不是 如果再玄学点就是 男主掌控了运势 撕支票只不过代表他已经类似于看破红尘的状态 最后的面具状态才是男主眼中真正的世界[捂脸],2023-04-20 06:03:16,广东,0,https://www.douyin.com/video/7217763525790371104
7217763525790371104,7220399201577911097,柠檬cle,MS4wLjABAAAAC1-3b_D0NmPiKwi1a8GcPA1i-RASNgTTKqZVi4wRSBk,148380754,[发怒]为啥撕了啊，给我也行啊,2023-04-10 20:36:40,天津,0,https://www.douyin.com/video/7217763525790371104
7217763525790371104,7352098287506457382,147258,MS4wLjABAAAAwPDV3ytVQdnqQiSVjtHWQcFvvbNZTeCrOJIExX9F5mk,76207877138,你今天开心吗？,2024-03-30 18:16:21,广西,0,https://www.douyin.com/video/7217763525790371104
7217763525790371104,7301997190348063500,奶茶配芋泥,MS4wLjABAAAAnwYbeRhA7jZxbom3DF4cM14xBJM_wZ7j4Bc-EbJ9TWRYKR5ZPMQzurqyd34oGpXB,2344764973,你撕了干嘛你撕了干嘛你撕了干嘛！！！[吐血][吐血][吐血][吐血],2023-11-16 17:58:31,重庆,0,https://www.douyin.com/video/7217763525790371104
7217763525790371104,7326940468692222783,方野,MS4wLjABAAAApgFXvR0OUH4sN816VSDwuLbo9ldiI2YT238B6kkN_UE,905788333,[吐血]他居然撕了,2024-01-22 23:11:14,云南,0,https://www.douyin.com/video/7217763525790371104
7217763525790371104,7290680538607567635,无..,MS4wLjABAAAAaK2sbRkCoYbeqQkmb8Lwk2TYFuyBPTTfckunMOmCwjE,1086055015,分歧终端机,2023-10-17 06:04:14,江西,0,https://www.douyin.com/video/7217763525790371104
7217763525790371104,7315724632891130664,作业不帮.,MS4wLjABAAAAO_Aed6wtgZdvAU3W756uhNyFhaplYJoMHxsHCYvcgO73-fcOD38l9iAut_ofsnCq,2361954022,大结局终于来了。[感谢][感谢][感谢],2023-12-23 17:47:59,广东,0,https://www.douyin.com/video/7217763525790371104
7217763525790371104,7274589296971137827,伊藤诚－O－,MS4wLjABAAAAB_VDz97wteF3hj_ymXgxIPweAVzYqAsuY1YqDv2R4GdROv2WiDNClv-jEvZ9zCRK,93886445076,壮汉在哪,2023-09-03 21:22:00,河南,0,https://www.douyin.com/video/7217763525790371104
7217763525790371104,7238167191014163257,爱喝水的肿眼泡,MS4wLjABAAAAlTf64q1xaliFZ7UN0BMvSHcrgRH-ASTQI34528FBhzgX3v7FlJWZN5h0bJDvfKw2,2304438994,哪里看？,2023-05-28 17:45:34,湖北,0,https://www.douyin.com/video/7217763525790371104
7217763525790371104,7349850367541019426,不忘…初心,MS4wLjABAAAAY2FUw69d2iLansQSzcKg7Qw0n1VCYpHCL7K81dDOVW6-VQE5fboKcHz93YM2c3pO,2998739861,@,2024-03-24 16:53:17,河南,0,https://www.douyin.com/video/7217763525790371104
7217763525790371104,7349526951043023653,ze,MS4wLjABAAAAGjZsXMzkvWdtRggaPDyVSrljWuyuiktUa3ODznOLLx40MmZpciz3BEEMpKHGgcIV,20224707450,[赞][赞][赞],2024-03-23 19:58:14,广东,0,https://www.douyin.com/video/7217763525790371104
7217763525790371104,7331948441578652452,蒋老二,MS4wLjABAAAANS7EvaaMVuWXBQxRGn4mA_YOJVE6fLik37kmaTXheu8,3859337697,[色],2024-02-05 11:04:38,内蒙古,0,https://www.douyin.com/video/7217763525790371104
7217763525790371104,7331547807835521829,帅克星,MS4wLjABAAAAbyC1tBusrGlR3XaQ1peIUV_v7NnGzL3icwh4zKUBFHKdTGp7uc58pK7chAyharqj,2945670182,[看][看][看],2024-02-04 09:10:01,广东,0,https://www.douyin.com/video/7217763525790371104
7217763525790371104,7329804147505611555,花期-晚玉,MS4wLjABAAAAbqOqrpXXXmC4qw9aZyaKFO0QuG8_o97P1Sy2xMlAvOQ,2791290991,,2024-01-30 16:23:41,湖北,0,https://www.douyin.com/video/7217763525790371104
7217763525790371104,7327074028584305446,😀😀😀😀,MS4wLjABAAAA24QFMKIl97q8E4RJgbmVjTrJ0QiPfRzp3YH7bPTuxUD87ZJMvPVrtWT2NoV-sl_Z,3480998373,[666][666][666],2024-01-23 07:49:26,贵州,0,https://www.douyin.com/video/7217763525790371104
7217763525790371104,7318912861975298828,告白(￣ｏ￣),MS4wLjABAAAAEBgAKrWiBgedqmB5u7d8jY3g4Cu3GkvFzN-hxL79gVI,65593500412,[酷拽],2024-01-01 07:59:58,广西,0,https://www.douyin.com/video/7217763525790371104
7217763525790371104,7317901898664968972,季girI✨”,MS4wLjABAAAAPagYzhGWwRrIP7hiyiv_0Z2kkeFXFNYRdxVFPYnUbTk,3672539220,：,2023-12-29 14:36:56,山西,0,https://www.douyin.com/video/7217763525790371104
7217763525790371104,7312589032461746978,Bad  boy,MS4wLjABAAAAjBKPhsxGqZYU7cZRE8Oa_2mOGyIVSEMrIUBpGlajlag,1895163931,[衰][一起加油],2023-12-15 07:00:21,陕西,0,https://www.douyin.com/video/7217763525790371104
7217763525790371104,7303171988863009563,白昼稚兔,MS4wLjABAAAA7manph_qZZfLEnkobXQd0NnGjQ6vEouSEGUaWVgK8--6-7gnPZULS2gVWju2OmsN,34078069660,[看][看][看][看][看][看][看][看][看],2023-11-19 21:57:17,北京,0,https://www.douyin.com/video/7217763525790371104
7217763525790371104,7270385329399169811,草莓🍓奶茶🥤,MS4wLjABAAAAQCWyCo2pwHpQNr2dBfJEfWcpXWNSvnD-bdJ4xQ7t7QY,927744835,Ok,2023-08-23 13:28:33,海南,0,https://www.douyin.com/video/7217763525790371104
7217763525790371104,7269183599847490319,用户6233887796783,MS4wLjABAAAAaKiIRy02Bto0NGZLvyx9GnA2eJ8eXHd2t1uNojm-dak,3622256440,[比心][比心][比心],2023-08-20 07:45:11,江西,0,https://www.douyin.com/video/7217763525790371104
7217763525790371104,7248928472394203941,老子,MS4wLjABAAAA_pbZ4W4WXpdgpmjiZVrjkiwdW0VlAKEbYV9ymdKFJzHMRMqvkmBHZYKH-_QZqAoG,78345833451,[看][看][看][看],2023-06-26 17:44:50,广东,0,https://www.douyin.com/video/7217763525790371104
7217763525790371104,7225856862842897208,屋莉亚不玩乐园,MS4wLjABAAAAd3NRseBCfwuQGWLOy-Y96Y2-hJIbyLjLxDMwOblLOhE,2371556185,@的犬 大结局了,2023-04-25 13:35:16,山西,1,https://www.douyin.com/video/7217763525790371104
7217763525790371104,7219259710142087971,萌物奇缘（出兔子和用品）,MS4wLjABAAAAT4tRYDWyQCAiogAAwikVqQGM6lok6AnlIFvBZPIRzbg,129186340,[比心][赞][赞],2023-04-07 18:54:55,河南,0,https://www.douyin.com/video/7217763525790371104
7217763525790371104,7349526934973973285,ze,MS4wLjABAAAAGjZsXMzkvWdtRggaPDyVSrljWuyuiktUa3ODznOLLx40MmZpciz3BEEMpKHGgcIV,20224707450,[比心][比心][比心],2024-03-23 19:58:09,广东,0,https://www.douyin.com/video/7217763525790371104
7217763525790371104,7269183534883390223,用户6233887796783,MS4wLjABAAAAaKiIRy02Bto0NGZLvyx9GnA2eJ8eXHd2t1uNojm-dak,3622256440,[爱心][爱心][爱心],2023-08-20 07:45:06,江西,0,https://www.douyin.com/video/7217763525790371104
7217763525790371104,7269183518894736163,用户6233887796783,MS4wLjABAAAAaKiIRy02Bto0NGZLvyx9GnA2eJ8eXHd2t1uNojm-dak,3622256440,[抱抱你][抱抱你][抱抱你],2023-08-20 07:45:02,江西,0,https://www.douyin.com/video/7217763525790371104
7217763525790371104,7269183484601615104,用户6233887796783,MS4wLjABAAAAaKiIRy02Bto0NGZLvyx9GnA2eJ8eXHd2t1uNojm-dak,3622256440,[看][看][看],2023-08-20 07:44:54,江西,0,https://www.douyin.com/video/7217763525790371104
7217763525790371104,7218941066953949987,过去不重要,MS4wLjABAAAAwOYhG50iEkUiPIkUOf7d9Vsescgad4pBUKsuQoHgubQ,351398026,@星云.,2023-04-06 22:18:21,江西,1,https://www.douyin.com/video/7217763525790371104
7217763525790371104,7219601643527078695,xin77080,MS4wLjABAAAAwLDafzXsiCjJficZraFvGk9ldXCavdbUBundL0PxAk2yhP_MIlaovlFzLFfF19d1,3575052429,@TripleXtriplex,2023-04-08 17:01:44,福建,0,https://www.douyin.com/video/7217763525790371104
7217763525790371104,7219586877409018628,zwyy.,MS4wLjABAAAAneqbd5XUJ8TNGAJKZ09H7VjrpcJj63_SAydCBKu3ITE,1012981662,@4ever,2023-04-08 16:04:26,浙江,1,https://www.douyin.com/video/7217763525790371104
7217763525790371104,7308630401903248166,落锤小队,MS4wLjABAAAArKPmxBc1j6P2nEnsAuycH9wZ2eJQwNsSOvXgaYEJZbs,2171165916,@化肥辉辉发,2023-12-04 14:58:46,江苏,0,https://www.douyin.com/video/7217763525790371104
